match_id,variant,team,weight,role,is_top_weighted,residual_norm,residual_l1,R
KXWCADVANCE-26JUL03COLGHA,vwap3,NL,1.0,field,True,0.03765,0.13757,-7e-05
KXWCADVANCE-26JUL03ARGCPV,vwap3,FR,1.0,field,True,0.04401,0.14812,0.00054
KXWCADVANCE-26JUL03AUSEGY,vwap3,FR,1.0,field,True,0.03755,0.1346,0.0009
KXWCADVANCE-26JUL04PARFRA,vwap3,FR,1.0,winner,True,0.04345,0.1474,0.00082
KXWCADVANCE-26JUL04CANMAR,vwap3,FR,1.0,next_opponent,True,0.04004,0.14093,0.00083
KXWCADVANCE-26JUL05MEXENG,vwap3,FR,0.0126,field,False,0.06874,0.23128,0.04699
KXWCADVANCE-26JUL05MEXENG,vwap3,GB,0.9874,winner,True,0.06874,0.23128,0.04699
KXWCADVANCE-26JUL05BRANOR,vwap3,AR,0.1966,field,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,FR,0.0805,field,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,GB,0.1707,next_opponent,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,MX,0.0538,field,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,NO,0.4984,winner,True,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL06PORESP,vwap3,ES,0.8812,winner,True,0.05332,0.2049,0.0533
KXWCADVANCE-26JUL06PORESP,vwap3,FR,0.1188,field,False,0.05332,0.2049,0.0533
KXWCADVANCE-26JUL06USABEL,vwap3,ES,0.6329,next_opponent,True,0.07694,0.27692,0.0324
KXWCADVANCE-26JUL06USABEL,vwap3,FR,0.3671,field,False,0.07694,0.27692,0.0324
