match_id,winner,loser,q_winner,loser_pre,released,winner_pre,winner_post,winner_share,next_opponent_share,field_share,implied_winner_share,excess_absorption,raw_vig_pre,raw_vig_post
KXWCADVANCE-26JUN28RSACAN,CA,RSA,0.7366666666666667,0.0009208103130755069,7.2902156333625855e-06,0.0018416206261510138,0.002740560292326433,123.30769230769468,-96.53846153846732,-25.76923076923141,90.30142707970933,1.3655121108866932,1.0859999999999994,1.094666666666666
KXWCADVANCE-26JUN29NEDMAR,MA,NL,0.42,0.04955913651565824,0.0486354911954612,0.012161751292186048,0.036637931034482714,0.503257582902357,0.0007102204377960532,0.49603219665984916,0.3453198269551425,1.4573666022592175,1.096333333333333,1.0826666666666662
KXWCADVANCE-26JUN29GERPAR,PY,DE,0.1433333333333333,0.03600854440036618,0.03509167398471826,0.0009154714678059208,0.0030562347188263766,0.06100487688198392,0.7237159980333007,0.21527912508471478,0.1559212813581721,0.39125433263883674,1.0923333333333325,1.0906666666666662
KXWCADVANCE-26JUN29BRAJPN,BR,JP,0.7399999999999999,0.008377288240769474,0.007452789011185498,0.05584858827179649,0.06748844375963023,1.5618120237087203,-0.05715495342929335,-0.5046570702794538,2.6329038606769357,0.5931899174272048,1.0743333333333327,1.081666666666666
KXWCADVANCE-26JUN30MEXECU,MX,EC,0.64,0.00443786982248521,0.0035059033732773807,0.029585798816568032,0.04442373407890645,4.232271595228722,-1.6494691309476863,-1.5828024642809895,4.746854109319695,0.8915950433191802,1.126666666666666,1.0729999999999995
KXWCADVANCE-26JUN30FRASWE,FR,SE,0.89,0.002668247850578122,0.0017403171360714715,0.2549659057219094,0.3145685122177546,34.24812941300455,0.08852355358836501,-33.33665296659292,18.107412367484063,1.891387279305837,1.1243333333333325,1.077666666666666
KXWCADVANCE-26JUN30CIVNOR,NO,CIV,0.65,0.0023816612086930053,0.0023816612086930053,0.018755582018457888,0.023162445954292787,1.8503319950587236,2.0042850525015594,-2.8546170475603674,4.240384615384721,0.436359472757602,1.119666666666666,1.0793333333333328
KXWCADVANCE-26JUL01USABIH,US,BIH,0.84,0.008952551477171002,-0.00037870824289121426,0.03700387943897344,0.041057542768273746,-10.703921568627548,-11.710539215686207,23.414460784313846,-18.611577964519157,0.5751216575528066,1.116999999999999,1.0716666666666659
KXWCADVANCE-26JUL01BELSEN,BE,SN,0.6233333333333334,0.004070950857807446,0.0031190232043091116,0.010468159348647869,0.01380295097572575,1.0691782037628552,2.0465921192758656,-2.11577032303881,2.028096222514602,0.5271831740000972,1.1463333333333328,1.0505
KXWCADVANCE-26JUL01ENGCOD,GB,COD,0.88,0.008944543828264765,-0.0003635542170346475,0.07423971377459755,0.08625504188644116,-33.049618320610826,-3.9132315521628964,37.962849872774896,-27.846183206107252,1.1868634949353616,1.1179999999999992,1.0743333333333331
KXWCADVANCE-26JUL02SUIDZA,CH,DZA,0.6633333333333334,0.0008820935019112034,-6.817574104096683e-05,0.00529256101146722,0.007602153943617362,-33.87704918032804,-3.769125683059557,38.64617486339166,-39.40073317406727,0.8598075835458107,1.1336666666666657,1.052333333333333
KXWCADVANCE-26JUL02PORCRO,PT,HR,0.7200000000000001,0.0029455081001472493,0.0019982393915902548,0.055670103092783564,0.07546574044837381,9.906539446125285,7.073865487549543,-15.980404933674981,10.834279730044365,0.9143699159486921,1.1316666666666655,1.0556666666666663
KXWCADVANCE-26JUL02ESPAUT,ES,AT,0.88,0.0008860011813349088,0.0008860011813349088,0.08830478440637918,0.12059193954659951,36.441435768262004,5.231738035264506,-40.6731738035264,13.590909090909092,2.681309655189846,1.1286666666666663,1.058666666666666
KXWCADVANCE-26JUL03COLGHA,CO,GH,0.81,0.0008831321754489263,-7.076289609320467e-05,0.025610833088018866,0.030842607313195533,-73.93386243386203,-21.480158730158767,96.41402116402242,-84.89589457182078,0.8708767697985088,1.1323333333333323,1.0483333333333327
KXWCADVANCE-26JUL03ARGCPV,AR,CPV,0.93,0.001485442661913192,0.0005393688681572786,0.17439096850861566,0.1677704194260486,-12.274622199063465,1.9911412193853084,11.283480979677707,24.336224624162842,-0.5043765986149016,1.121999999999999,1.0569999999999995
KXWCADVANCE-26JUL03AUSEGY,EGY,AU,0.61,0.0008971291866028714,0.0008971291866028714,0.0017942583732057427,0.002849905003166563,1.176694110196327,17.681021743719622,-17.85771585391612,1.278688524590164,0.9202351374612301,1.114666666666666,1.052666666666666
KXWCADVANCE-26JUL04PARFRA,FR,PY,0.9233333333333332,0.0017814726840855116,0.0008202423092056652,0.3165083135391925,0.34732457545658446,37.56970540477835,3.8543261424264124,-40.424031547204784,32.039890398753265,1.1725915706078776,1.122666666666666,1.040333333333333
KXWCADVANCE-26JUL04CANMAR,MA,CA,0.7266666666666666,0.0017910447761194043,0.0008279629141611372,0.02059701492537315,0.0263242375601926,6.917245370370328,32.925925925925895,-38.84317129629619,9.357304408766568,0.7392348339004313,1.1166666666666658,1.0383333333333327
KXWCADVANCE-26JUL05MEXENG,GB,MX,0.49,0.04796163069544365,0.04699044260868418,0.06414868105515589,0.13564260278407259,1.521456657139554,0.4692131044623231,-0.9906697616018806,1.4208632832769317,1.0707973631570127,1.1119999999999992,1.0296666666666663
KXWCADVANCE-26JUL05BRANOR,NO,BR,0.3,0.06246281975014877,0.06149725811513107,0.013979773944080854,0.05342774380431284,0.6414590027148872,0.3137142270044081,0.044826770280702644,0.5304215754647249,1.2093380669006115,1.1206666666666658,1.035666666666666
KXWCADVANCE-26JUL06PORESP,ES,PT,0.6666666666666666,0.05429071803852893,0.05329701151318941,0.10916520723876243,0.17986088108645243,1.3264472404835483,0.06934527696750792,-0.39579251745106075,1.0241212794055752,1.2952052331667696,1.1419999999999992,1.006333333333333
KXWCADVANCE-26JUL06USABEL,BE,US,0.4666666666666666,0.033381712626995644,0.03239891164419466,0.012772133526850459,0.02407862407862409,0.3489774803530959,1.7000462280141773,-1.0490237083672724,0.4505313076867424,0.7745909649318808,1.1483333333333325,1.0174999999999996
