variant,match_id,winner,loser,tier,q_winner,loser_pre,released,winner_share,next_opponent_share,field_share,implied_winner_share,excess_absorption
vwap3,KXWCADVANCE-26JUL05BRANOR,NO,BR,contender,0.3,0.0624628197501487,0.061497258115131,0.6414590027148872,0.3137142270044081,0.0448267702807026,0.5304215754647249,1.2093380669006115
vwap3,KXWCADVANCE-26JUL06PORESP,ES,PT,contender,0.6666666666666666,0.0542907180385289,0.0532970115131894,1.3264472404835483,0.0693452769675079,-0.3957925174510607,1.0241212794055752,1.2952052331667696
vwap3,KXWCADVANCE-26JUN29NEDMAR,MA,NL,contender,0.42,0.0495591365156582,0.0486354911954612,0.503257582902357,0.000710220437796,0.4960321966598491,0.3453198269551425,1.4573666022592175
vwap3,KXWCADVANCE-26JUL05MEXENG,GB,MX,contender,0.49,0.0479616306954436,0.0469904426086841,1.521456657139554,0.4692131044623231,-0.9906697616018806,1.4208632832769317,1.070797363157013
vwap3,KXWCADVANCE-26JUN29GERPAR,PY,DE,contender,0.1433333333333333,0.0360085444003661,0.0350916739847182,0.0610048768819839,0.7237159980333007,0.2152791250847147,0.1559212813581721,0.3912543326388367
vwap3,KXWCADVANCE-26JUL06USABEL,BE,US,contender,0.4666666666666666,0.0333817126269956,0.0323989116441946,0.3489774803530959,1.7000462280141773,-1.0490237083672724,0.4505313076867424,0.7745909649318808
vwap3,KXWCADVANCE-26JUL01USABIH,US,BIH,longshot,0.84,0.008952551477171,-0.0003787082428912,-10.703921568627548,-11.710539215686207,23.41446078431385,-18.611577964519157,0.5751216575528066
vwap3,KXWCADVANCE-26JUL01ENGCOD,GB,COD,longshot,0.88,0.0089445438282647,-0.0003635542170346,-33.049618320610826,-3.913231552162896,37.962849872774896,-27.846183206107252,1.1868634949353616
vwap3,KXWCADVANCE-26JUN29BRAJPN,BR,JP,longshot,0.7399999999999999,0.0083772882407694,0.0074527890111854,1.5618120237087203,-0.0571549534292933,-0.5046570702794538,2.6329038606769357,0.5931899174272048
vwap3,KXWCADVANCE-26JUN30MEXECU,MX,EC,longshot,0.64,0.0044378698224852,0.0035059033732773,4.232271595228722,-1.6494691309476863,-1.5828024642809897,4.746854109319695,0.8915950433191802
vwap3,KXWCADVANCE-26JUL01BELSEN,BE,SN,longshot,0.6233333333333334,0.0040709508578074,0.0031190232043091,1.0691782037628552,2.0465921192758656,-2.11577032303881,2.028096222514602,0.5271831740000972
vwap3,KXWCADVANCE-26JUL02PORCRO,PT,HR,longshot,0.7200000000000001,0.0029455081001472,0.0019982393915902,9.906539446125285,7.073865487549543,-15.98040493367498,10.834279730044363,0.914369915948692
vwap3,KXWCADVANCE-26JUN30FRASWE,FR,SE,longshot,0.89,0.0026682478505781,0.0017403171360714,34.24812941300455,0.088523553588365,-33.33665296659292,18.107412367484063,1.891387279305837
vwap3,KXWCADVANCE-26JUN30CIVNOR,NO,CIV,longshot,0.65,0.002381661208693,0.002381661208693,1.8503319950587236,2.0042850525015594,-2.8546170475603674,4.240384615384721,0.436359472757602
vwap3,KXWCADVANCE-26JUL04CANMAR,MA,CA,longshot,0.7266666666666666,0.0017910447761194,0.0008279629141611,6.917245370370328,32.925925925925895,-38.84317129629619,9.357304408766568,0.7392348339004313
vwap3,KXWCADVANCE-26JUL04PARFRA,FR,PY,longshot,0.9233333333333332,0.0017814726840855,0.0008202423092056,37.56970540477835,3.854326142426413,-40.424031547204784,32.039890398753265,1.1725915706078776
vwap3,KXWCADVANCE-26JUL03ARGCPV,AR,CPV,longshot,0.93,0.0014854426619131,0.0005393688681572,-12.274622199063463,1.9911412193853084,11.283480979677709,24.33622462416284,-0.5043765986149016
vwap3,KXWCADVANCE-26JUN28RSACAN,CA,RSA,longshot,0.7366666666666667,0.0009208103130755,7.2902156333625855e-06,123.30769230769468,-96.53846153846732,-25.76923076923141,90.30142707970931,1.3655121108866932
vwap3,KXWCADVANCE-26JUL03AUSEGY,EGY,AU,longshot,0.61,0.0008971291866028,0.0008971291866028,1.176694110196327,17.681021743719622,-17.85771585391612,1.278688524590164,0.92023513746123
vwap3,KXWCADVANCE-26JUL02ESPAUT,ES,AT,longshot,0.88,0.0008860011813349,0.0008860011813349,36.441435768262,5.231738035264506,-40.6731738035264,13.590909090909092,2.681309655189846
vwap3,KXWCADVANCE-26JUL03COLGHA,CO,GH,longshot,0.81,0.0008831321754489,-7.076289609320467e-05,-73.93386243386203,-21.480158730158767,96.41402116402242,-84.89589457182078,0.8708767697985088
vwap3,KXWCADVANCE-26JUL02SUIDZA,CH,DZA,longshot,0.6633333333333334,0.0008820935019112,-6.817574104096683e-05,-33.87704918032804,-3.769125683059557,38.64617486339166,-39.40073317406727,0.8598075835458107
